,delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr
0,154.24516505185179,446.7425413919806,443.7966688110867,526.1830747208437,0.8434263474676271,0.8490249170956159,0.2931397311357527,1.006637887996739,0.34755818574544134,1.613976015036147
1,142.2650275535261,438.68904099308173,434.4026568512771,479.90712623816887,0.9051806758036995,0.9141123709327221,0.29644283190519377,1.0098673064591135,0.327495758393191,1.57380734999723
2,124.93885534012271,427.87297447710984,436.35273322908824,478.1646021275957,0.9125575822374443,0.8948236079653052,0.2612883822520669,0.9805667339603291,0.28632536438021794,1.6543013120016559
3,107.13133798988837,430.19542951345574,433.52273540438455,478.24355326013574,0.906489449672883,0.8995321036339308,0.2240099992139682,0.9923249564112823,0.2471181537687005,1.6968562591828182
4,66.59329192627258,177.94031740478252,159.90459969322254,226.43060011844858,0.7061969522210095,0.7858492505504989,0.2941002315563216,1.1127904872415275,0.4164563874587224,1.5798858932664828
5,64.54609498868467,176.73489066559904,151.37431924668059,208.7336486354452,0.7252032445954936,0.8467005287406622,0.3092270719677539,1.1675354944294791,0.4264005632520793,1.4924838229818147
6,54.8467801611686,100.24231025031914,73.83124792195923,152.21780058813198,0.4850368855461945,0.6585452546483237,0.36031778116129776,1.3577220089287507,0.7428667631236912,1.457543196045125
7,29.446703720886532,52.460555222314746,49.97363857953806,120.76814687115231,0.4137981733946369,0.43439066162276196,0.24382839750206037,1.0497645701506906,0.5892447409851725,2.0845745255508006
8,31.969503637021063,45.726032062426036,48.91090838060213,118.00130629397997,0.4144946349894552,0.3875044565058245,0.27092499770616557,0.9348841306852685,0.6536272724327492,2.1482857820847725
9,31.876318712825388,46.78361068539134,45.51501945487417,118.95192645457789,0.3826337312179152,0.393298470060977,0.2679764814485577,1.0278719254811022,0.7003472500858565,2.0908605838792
10,31.45850299263538,47.598716327909614,44.93964260441926,121.62676790312861,0.36948809360955875,0.39135066357942105,0.25864785799200846,1.059169890310362,0.7000167595801445,2.1069095515766696
11,29.702137179064692,47.70121507159866,42.200226472275205,122.89877771956418,0.3433738500521912,0.3881341698974858,0.24167967924661002,1.130354480512978,0.7038383359998901,2.132969689183255
12,31.682272394531488,48.58050515331341,42.0078655220669,120.40717259023275,0.348881753622994,0.4034685318842392,0.26312612208204533,1.1564621184524093,0.7541985768805288,2.023541211434946
