,delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr
0,788.9268241476103,1164.5085374631788,895.3906876149981,1981.813477022813,0.4518037131123471,0.5875974459577126,0.39808328750129335,1.300559134208794,0.881097866060044,1.4728944817837681
1,780.3798485246801,1170.3119591026657,902.7222024020879,1982.8946542109693,0.45525474612835537,0.590203799590329,0.3935558789608053,1.2964253631832008,0.8644739726663836,1.479278707856406
2,750.6820616295848,1164.697919116783,894.617526578711,1968.7043536446395,0.45441943830850784,0.59160631049583,0.38130766574465885,1.3018948148388523,0.839109495764543,1.4949106229603575
3,694.3811063424309,1165.0624205883944,876.2674804866451,1956.300866104998,0.44792061163439384,0.5955435796069741,0.3549459688810271,1.329573956049771,0.7924305326916827,1.5233419598749771
4,687.5053958589035,1164.9821607143772,876.132607534378,1956.039807890113,0.447911440247947,0.5955820305983384,0.3514782230329366,1.329687025338416,0.7847047238587418,1.5288482804513004
5,689.3298285008749,1159.4591662465227,886.7714418066703,1952.9885732808048,0.4540586944228723,0.5936845622699981,0.35296152672459163,1.307506209135795,0.7773477989959439,1.5360108823427276
6,755.3907541961877,636.2300371031304,541.1538334105434,702.8906691840814,0.76989759166773,0.90516216105368,1.0746916801058815,1.1756916385372032,1.3958891308880643,0.8939536620698908
7,347.96253224491267,393.18713211325127,187.8281392599079,428.2567900873446,0.4385876502310673,0.9181106784858198,0.8125090840333071,2.093334543282554,1.852558054485213,0.8312557624657125
8,346.62630401597625,396.2813411442325,190.11451460715122,430.85131985646353,0.4412531791024503,0.9197635538780573,0.8045148942132833,2.0844349625966236,1.8232500802594573,0.835858721483076
9,280.62358343585754,282.3387559395934,198.36171577981645,415.86518965518655,0.4769856210958352,0.6789189452805457,0.6747945979045176,1.4233530640206415,1.4147063728131521,1.0910621590005911
10,221.09222821884137,213.58912725409152,171.69794368255677,398.82959428865536,0.4305045215834443,0.5355398152813733,0.5543526142115335,1.2439818594973109,1.2876812818888914,1.31251899992462
11,197.77255776151796,180.22739640131675,150.1308975163838,318.04448560568346,0.47204370555419234,0.5666735458660507,0.6218392920250769,1.2004683871396193,1.3173341466231827,1.238559364799253
12,183.91298712734158,147.78363257812953,132.45895199470138,288.96443891331637,0.4583918785744998,0.5114249806442851,0.6364554331286136,1.1156938081772017,1.3884526818142005,1.2705085486919319
13,183.55705539064604,146.4555089332124,133.39284066887842,286.3095236410494,0.4659043086394676,0.5115285969908074,0.6411140399953105,1.0979263069804435,1.3760637712655843,1.2717769251295903
14,183.44890817248515,150.64887347224442,132.2868256682748,285.7037198134543,0.46302101265832085,0.5272905567019155,0.6420949236932063,1.1388048107678892,1.3867511541361304,1.2511024270320021
15,181.6893481006679,152.0937251426009,131.63665405476027,280.68828835218466,0.46897807823600174,0.5418598903270455,0.6472993553357631,1.155405583913813,1.3802337153380237,1.2353081251260247
16,154.27814523022053,121.13694272195895,118.80492827861089,265.54282471992803,0.4474040238289858,0.45618608919191805,0.5809915797684987,1.019628936923216,1.2985837158911537,1.3955217771702961
17,154.07172457408782,117.48840007937608,109.9780459492021,261.3154058147483,0.42086323080074245,0.4496038023975744,0.5896006172835915,1.0682895760272277,1.4009316427139669,1.3672605734651049
18,149.34583297603993,113.84390491434291,111.024454869374,265.3228811690343,0.41845035897466204,0.4290768455880524,0.5628833529848989,1.0253948560097517,1.3451615966207897,1.4299468476812534
19,148.64954059173422,112.29345112860491,111.47343061128524,252.21425649654708,0.4419791020529062,0.4452303874033475,0.5893780258760642,1.0073561970132519,1.3334974960094697,1.3937438392582235
20,150.6220461712787,97.95667012616745,102.54916038973607,240.2019450992827,0.42692893409897,0.4078096456949131,0.6270642234350853,0.9552166956207642,1.4687789309911712,1.3788433321816946
